CVSS Score,Severity_LOW,Severity_MEDIUM,Severity_UNKNOWN
5.0,False,True,False
7.2,False,False,False
10.0,False,False,False
10.0,False,False,False
10.0,False,False,False
4.6,False,True,False
2.1,True,False,False
7.5,False,False,False
7.5,False,False,False
7.5,False,False,False
5.0,False,True,False
10.0,False,False,False
5.0,False,True,False
7.5,False,False,False
4.6,False,True,False
4.6,False,True,False
7.5,False,False,False
10.0,False,False,False
7.2,False,False,False
7.2,False,False,False
7.2,False,False,False
7.2,False,False,False
7.5,False,False,False
7.2,False,False,False
5.0,False,True,False
5.0,False,True,False
4.6,False,True,False
2.1,True,False,False
4.6,False,True,False
7.2,False,False,False
10.0,False,False,False
7.5,False,False,False
5.0,False,True,False
7.2,False,False,False
7.2,False,False,False
7.2,False,False,False
7.2,False,False,False
5.0,False,True,False
5.0,False,True,False
5.0,False,True,False
5.0,False,True,False
7.5,False,False,False
7.2,False,False,False
5.0,False,True,False
2.6,True,False,False
7.5,False,False,False
5.0,False,True,False
2.1,True,False,False
4.6,False,True,False
7.5,False,False,False
2.1,True,False,False
7.5,False,False,False
7.2,False,False,False
7.2,False,False,False
5.0,False,True,False
7.5,False,False,False
7.2,False,False,False
6.4,False,True,False
5.0,False,True,False
2.1,True,False,False
7.5,False,False,False
6.252848423194303,False,False,True
10.0,False,False,False
2.1,True,False,False
5.0,False,True,False
7.2,False,False,False
10.0,False,False,False
5.0,False,True,False
10.0,False,False,False
5.0,False,True,False
2.1,True,False,False
5.0,False,True,False
10.0,False,False,False
5.0,False,True,False
7.5,False,False,False
7.2,False,False,False
5.0,False,True,False
6.2,False,True,False
5.0,False,True,False
10.0,False,False,False
7.2,False,False,False
2.1,True,False,False
2.1,True,False,False
6.2,False,True,False
4.3,False,True,False
7.2,False,False,False
5.0,False,True,False
5.0,False,True,False
2.1,True,False,False
7.5,False,False,False
2.1,True,False,False
7.2,False,False,False
7.5,False,False,False
7.2,False,False,False
10.0,False,False,False
10.0,False,False,False
7.5,False,False,False
7.2,False,False,False
7.5,False,False,False
7.5,False,False,False
5.0,False,True,False
5.0,False,True,False
4.6,False,True,False
7.5,False,False,False
7.2,False,False,False
7.5,False,False,False
5.0,False,True,False
7.5,False,False,False
7.2,False,False,False
4.6,False,True,False
4.6,False,True,False
7.2,False,False,False
7.5,False,False,False
2.1,True,False,False
2.1,True,False,False
3.6,True,False,False
5.0,False,True,False
5.1,False,True,False
5.1,False,True,False
5.0,False,True,False
4.6,False,True,False
10.0,False,False,False
7.2,False,False,False
0.0,True,False,False
10.0,False,False,False
6.252848423194303,False,False,True
4.6,False,True,False
7.2,False,False,False
10.0,False,False,False
7.2,False,False,False
5.0,False,True,False
10.0,False,False,False
7.2,False,False,False
4.6,False,True,False
7.2,False,False,False
5.0,False,True,False
7.5,False,False,False
7.2,False,False,False
5.0,False,True,False
5.0,False,True,False
5.0,False,True,False
4.0,False,True,False
4.6,False,True,False
5.0,False,True,False
4.6,False,True,False
5.0,False,True,False
7.5,False,False,False
5.0,False,True,False
5.0,False,True,False
6.4,False,True,False
7.2,False,False,False
7.2,False,False,False
7.5,False,False,False
7.2,False,False,False
10.0,False,False,False
5.0,False,True,False
10.0,False,False,False
2.1,True,False,False
7.2,False,False,False
7.2,False,False,False
10.0,False,False,False
10.0,False,False,False
7.5,False,False,False
7.5,False,False,False
5.0,False,True,False
4.6,False,True,False
5.0,False,True,False
10.0,False,False,False
10.0,False,False,False
7.2,False,False,False
7.5,False,False,False
4.6,False,True,False
7.5,False,False,False
10.0,False,False,False
7.2,False,False,False
5.0,False,True,False
5.0,False,True,False
7.5,False,False,False
2.6,True,False,False
5.0,False,True,False
10.0,False,False,False
7.5,False,False,False
7.5,False,False,False
7.5,False,False,False
7.2,False,False,False
2.1,True,False,False
5.1,False,True,False
10.0,False,False,False
5.0,False,True,False
7.2,False,False,False
4.6,False,True,False
5.1,False,True,False
7.5,False,False,False
10.0,False,False,False
6.4,False,True,False
4.6,False,True,False
4.6,False,True,False
7.2,False,False,False
5.0,False,True,False
7.2,False,False,False
7.2,False,False,False
7.5,False,False,False
7.2,False,False,False
10.0,False,False,False
10.0,False,False,False
7.5,False,False,False
5.0,False,True,False
5.1,False,True,False
7.2,False,False,False
7.5,False,False,False
2.6,True,False,False
5.0,False,True,False
10.0,False,False,False
7.8,False,False,False
6.4,False,True,False
7.5,False,False,False
5.0,False,True,False
5.1,False,True,False
7.5,False,False,False
7.5,False,False,False
5.0,False,True,False
7.2,False,False,False
10.0,False,False,False
5.0,False,True,False
2.6,True,False,False
2.1,True,False,False
3.6,True,False,False
7.5,False,False,False
7.6,False,False,False
5.0,False,True,False
7.2,False,False,False
6.4,False,True,False
5.0,False,True,False
7.5,False,False,False
7.2,False,False,False
7.2,False,False,False
5.0,False,True,False
2.1,True,False,False
7.5,False,False,False
4.6,False,True,False
7.2,False,False,False
6.8,False,True,False
7.5,False,False,False
7.2,False,False,False
4.6,False,True,False
7.2,False,False,False
6.4,False,True,False
7.5,False,False,False
2.6,True,False,False
2.1,True,False,False
7.2,False,False,False
10.0,False,False,False
4.6,False,True,False
10.0,False,False,False
10.0,False,False,False
5.0,False,True,False
5.0,False,True,False
7.2,False,False,False
7.5,False,False,False
7.2,False,False,False
7.2,False,False,False
5.0,False,True,False
6.4,False,True,False
7.5,False,False,False
5.0,False,True,False
7.5,False,False,False
5.0,False,True,False
7.5,False,False,False
5.0,False,True,False
7.2,False,False,False
10.0,False,False,False
7.2,False,False,False
5.0,False,True,False
7.2,False,False,False
5.0,False,True,False
7.5,False,False,False
7.2,False,False,False
2.1,True,False,False
4.6,False,True,False
5.0,False,True,False
5.0,False,True,False
5.1,False,True,False
10.0,False,False,False
7.5,False,False,False
7.5,False,False,False
10.0,False,False,False
10.0,False,False,False
6.4,False,True,False
7.2,False,False,False
4.6,False,True,False
5.0,False,True,False
7.5,False,False,False
6.252848423194303,False,False,True
10.0,False,False,False
7.2,False,False,False
2.1,True,False,False
7.2,False,False,False
5.1,False,True,False
10.0,False,False,False
10.0,False,False,False
7.2,False,False,False
7.5,False,False,False
5.0,False,True,False
5.0,False,True,False
7.2,False,False,False
10.0,False,False,False
7.5,False,False,False
4.6,False,True,False
7.5,False,False,False
4.6,False,True,False
5.0,False,True,False
7.2,False,False,False
10.0,False,False,False
5.0,False,True,False
6.252848423194303,False,False,True
7.5,False,False,False
7.2,False,False,False
7.2,False,False,False
5.0,False,True,False
7.2,False,False,False
2.1,True,False,False
7.5,False,False,False
7.2,False,False,False
10.0,False,False,False
10.0,False,False,False
7.5,False,False,False
10.0,False,False,False
5.0,False,True,False
10.0,False,False,False
5.0,False,True,False
7.2,False,False,False
6.252848423194303,False,False,True
2.6,True,False,False
2.1,True,False,False
7.8,False,False,False
10.0,False,False,False
7.2,False,False,False
10.0,False,False,False
7.2,False,False,False
5.0,False,True,False
7.2,False,False,False
10.0,False,False,False
7.2,False,False,False
5.0,False,True,False
7.2,False,False,False
5.0,False,True,False
7.2,False,False,False
6.252848423194303,False,False,True
10.0,False,False,False
10.0,False,False,False
10.0,False,False,False
4.6,False,True,False
5.0,False,True,False
7.2,False,False,False
7.2,False,False,False
7.2,False,False,False
10.0,False,False,False
5.0,False,True,False
7.2,False,False,False
5.0,False,True,False
5.0,False,True,False
7.2,False,False,False
4.6,False,True,False
7.2,False,False,False
7.5,False,False,False
7.5,False,False,False
7.8,False,False,False
2.1,True,False,False
7.2,False,False,False
7.5,False,False,False
7.5,False,False,False
5.0,False,True,False
6.4,False,True,False
5.0,False,True,False
7.5,False,False,False
6.4,False,True,False
5.0,False,True,False
4.6,False,True,False
6.4,False,True,False
5.0,False,True,False
7.5,False,False,False
2.1,True,False,False
4.6,False,True,False
5.0,False,True,False
7.2,False,False,False
5.0,False,True,False
10.0,False,False,False
10.0,False,False,False
4.6,False,True,False
6.4,False,True,False
5.0,False,True,False
10.0,False,False,False
2.1,True,False,False
4.6,False,True,False
5.0,False,True,False
6.4,False,True,False
7.2,False,False,False
10.0,False,False,False
2.1,True,False,False
7.6,False,False,False
6.252848423194303,False,False,True
2.1,True,False,False
3.7,True,False,False
2.1,True,False,False
2.1,True,False,False
5.0,False,True,False
5.0,False,True,False
10.0,False,False,False
2.1,True,False,False
0.0,True,False,False
7.5,False,False,False
7.5,False,False,False
7.5,False,False,False
2.1,True,False,False
5.0,False,True,False
10.0,False,False,False
5.0,False,True,False
2.1,True,False,False
10.0,False,False,False
7.5,False,False,False
5.0,False,True,False
10.0,False,False,False
7.2,False,False,False
2.1,True,False,False
7.5,False,False,False
7.2,False,False,False
4.3,False,True,False
2.1,True,False,False
7.2,False,False,False
6.252848423194303,False,False,True
7.2,False,False,False
7.2,False,False,False
0.0,True,False,False
5.1,False,True,False
5.0,False,True,False
10.0,False,False,False
5.0,False,True,False
10.0,False,False,False
7.5,False,False,False
5.0,False,True,False
7.2,False,False,False
4.6,False,True,False
4.6,False,True,False
7.2,False,False,False
10.0,False,False,False
10.0,False,False,False
0.0,True,False,False
5.0,False,True,False
4.6,False,True,False
7.2,False,False,False
2.1,True,False,False
7.5,False,False,False
10.0,False,False,False
10.0,False,False,False
7.2,False,False,False
3.6,True,False,False
7.2,False,False,False
5.0,False,True,False
10.0,False,False,False
7.2,False,False,False
7.2,False,False,False
7.2,False,False,False
7.2,False,False,False
4.6,False,True,False
5.0,False,True,False
4.6,False,True,False
7.2,False,False,False
7.2,False,False,False
7.2,False,False,False
7.2,False,False,False
10.0,False,False,False
2.1,True,False,False
2.1,True,False,False
9.3,False,False,False
2.1,True,False,False
7.2,False,False,False
5.0,False,True,False
7.5,False,False,False
5.0,False,True,False
5.0,False,True,False
7.5,False,False,False
4.6,False,True,False
5.0,False,True,False
5.0,False,True,False
10.0,False,False,False
5.0,False,True,False
5.0,False,True,False
5.0,False,True,False
5.0,False,True,False
7.5,False,False,False
7.5,False,False,False
7.2,False,False,False
10.0,False,False,False
7.5,False,False,False
7.2,False,False,False
5.0,False,True,False
6.252848423194303,False,False,True
4.6,False,True,False
7.5,False,False,False
5.1,False,True,False
7.2,False,False,False
10.0,False,False,False
7.5,False,False,False
5.0,False,True,False
7.5,False,False,False
7.2,False,False,False
2.6,True,False,False
7.2,False,False,False
5.0,False,True,False
10.0,False,False,False
7.5,False,False,False
7.5,False,False,False
5.0,False,True,False
4.6,False,True,False
7.2,False,False,False
6.4,False,True,False
7.2,False,False,False
7.5,False,False,False
5.0,False,True,False
7.2,False,False,False
5.0,False,True,False
10.0,False,False,False
6.252848423194303,False,False,True
5.0,False,True,False
7.2,False,False,False
7.2,False,False,False
7.2,False,False,False
5.0,False,True,False
10.0,False,False,False
6.4,False,True,False
7.5,False,False,False
2.1,True,False,False
5.0,False,True,False
5.0,False,True,False
7.2,False,False,False
5.0,False,True,False
7.5,False,False,False
7.5,False,False,False
4.6,False,True,False
5.0,False,True,False
5.0,False,True,False
5.0,False,True,False
10.0,False,False,False
5.0,False,True,False
5.0,False,True,False
2.1,True,False,False
10.0,False,False,False
5.0,False,True,False
7.2,False,False,False
5.0,False,True,False
10.0,False,False,False
7.5,False,False,False
7.5,False,False,False
7.8,False,False,False
7.5,False,False,False
7.5,False,False,False
7.6,False,False,False
7.5,False,False,False
4.6,False,True,False
5.0,False,True,False
10.0,False,False,False
4.6,False,True,False
10.0,False,False,False
5.0,False,True,False
7.5,False,False,False
5.0,False,True,False
2.1,True,False,False
7.2,False,False,False
5.1,False,True,False
5.0,False,True,False
6.4,False,True,False
5.0,False,True,False
4.6,False,True,False
7.5,False,False,False
7.2,False,False,False
7.2,False,False,False
10.0,False,False,False
7.5,False,False,False
5.0,False,True,False
7.1,False,False,False
5.0,False,True,False
7.2,False,False,False
10.0,False,False,False
5.0,False,True,False
0.0,True,False,False
10.0,False,False,False
6.252848423194303,False,False,True
4.6,False,True,False
5.0,False,True,False
10.0,False,False,False
5.0,False,True,False
10.0,False,False,False
7.5,False,False,False
5.0,False,True,False
5.0,False,True,False
7.5,False,False,False
2.1,True,False,False
3.7,True,False,False
7.2,False,False,False
6.4,False,True,False
7.5,False,False,False
4.6,False,True,False
5.0,False,True,False
5.0,False,True,False
7.2,False,False,False
7.5,False,False,False
5.0,False,True,False
2.1,True,False,False
7.2,False,False,False
2.1,True,False,False
4.6,False,True,False
7.5,False,False,False
5.0,False,True,False
5.0,False,True,False
0.0,True,False,False
7.5,False,False,False
7.5,False,False,False
5.0,False,True,False
10.0,False,False,False
7.2,False,False,False
7.2,False,False,False
1.2,True,False,False
10.0,False,False,False
5.0,False,True,False
5.0,False,True,False
10.0,False,False,False
4.6,False,True,False
2.1,True,False,False
2.1,True,False,False
7.5,False,False,False
5.0,False,True,False
6.2,False,True,False
7.5,False,False,False
4.6,False,True,False
10.0,False,False,False
4.6,False,True,False
7.5,False,False,False
7.5,False,False,False
5.0,False,True,False
7.2,False,False,False
7.5,False,False,False
5.0,False,True,False
4.6,False,True,False
5.0,False,True,False
7.5,False,False,False
5.0,False,True,False
7.2,False,False,False
4.6,False,True,False
7.2,False,False,False
5.0,False,True,False
5.0,False,True,False
5.0,False,True,False
10.0,False,False,False
10.0,False,False,False
5.0,False,True,False
5.0,False,True,False
5.0,False,True,False
2.1,True,False,False
7.2,False,False,False
7.5,False,False,False
7.2,False,False,False
7.5,False,False,False
4.6,False,True,False
2.6,True,False,False
4.6,False,True,False
7.5,False,False,False
5.1,False,True,False
2.6,True,False,False
6.4,False,True,False
6.252848423194303,False,False,True
6.2,False,True,False
7.2,False,False,False
7.5,False,False,False
7.2,False,False,False
7.2,False,False,False
7.2,False,False,False
7.2,False,False,False
10.0,False,False,False
4.6,False,True,False
7.5,False,False,False
6.252848423194303,False,False,True
5.0,False,True,False
7.2,False,False,False
2.1,True,False,False
7.5,False,False,False
7.2,False,False,False
2.1,True,False,False
10.0,False,False,False
7.2,False,False,False
7.5,False,False,False
5.0,False,True,False
7.6,False,False,False
0.0,True,False,False
7.5,False,False,False
2.1,True,False,False
7.5,False,False,False
7.5,False,False,False
5.0,False,True,False
7.5,False,False,False
7.2,False,False,False
4.6,False,True,False
7.5,False,False,False
5.0,False,True,False
7.2,False,False,False
7.2,False,False,False
7.2,False,False,False
5.0,False,True,False
7.2,False,False,False
7.5,False,False,False
10.0,False,False,False
7.2,False,False,False
7.8,False,False,False
7.5,False,False,False
10.0,False,False,False
5.0,False,True,False
7.2,False,False,False
7.5,False,False,False
10.0,False,False,False
7.5,False,False,False
10.0,False,False,False
5.0,False,True,False
4.6,False,True,False
5.0,False,True,False
4.6,False,True,False
7.2,False,False,False
5.0,False,True,False
2.1,True,False,False
6.252848423194303,False,False,True
10.0,False,False,False
0.0,True,False,False
7.5,False,False,False
7.2,False,False,False
2.1,True,False,False
5.0,False,True,False
2.1,True,False,False
7.2,False,False,False
5.0,False,True,False
2.1,True,False,False
7.2,False,False,False
5.0,False,True,False
2.1,True,False,False
5.0,False,True,False
5.1,False,True,False
6.2,False,True,False
5.0,False,True,False
10.0,False,False,False
5.1,False,True,False
10.0,False,False,False
5.0,False,True,False
7.2,False,False,False
10.0,False,False,False
7.5,False,False,False
2.1,True,False,False
7.5,False,False,False
7.5,False,False,False
7.2,False,False,False
10.0,False,False,False
5.0,False,True,False
5.1,False,True,False
10.0,False,False,False
5.0,False,True,False
7.2,False,False,False
5.1,False,True,False
3.7,True,False,False
4.6,False,True,False
4.6,False,True,False
2.1,True,False,False
5.0,False,True,False
2.1,True,False,False
7.5,False,False,False
7.2,False,False,False
5.0,False,True,False
7.5,False,False,False
5.0,False,True,False
10.0,False,False,False
5.0,False,True,False
5.0,False,True,False
10.0,False,False,False
7.5,False,False,False
10.0,False,False,False
10.0,False,False,False
10.0,False,False,False
7.2,False,False,False
5.0,False,True,False
2.1,True,False,False
4.6,False,True,False
3.6,True,False,False
10.0,False,False,False
7.5,False,False,False
10.0,False,False,False
5.0,False,True,False
7.5,False,False,False
10.0,False,False,False
7.5,False,False,False
7.5,False,False,False
7.2,False,False,False
10.0,False,False,False
10.0,False,False,False
